name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_currency
Data Analyst;FLYR Poland sp.z.o.o;SQL;data analyst;Kraków;POL;11 000;16 000;PLN
Junior Data Analyst;Coinfirm;mysql;data analyst;Zdalna;N/A;3 000;5 000;PLN
Junior Technical Product Manager;Scalaric;;data analyst;Kraków;POL;5 000;10 000;PLN
Business System Analyst (Data&Analytics);Elitmind;;data analyst;Zdalna;N/A;15 000;21 000;PLN
Data analyst (analityk danych);Alterdata.io sp. z o.o.;;data analyst;Zdalna;N/A;12 000;21 000;PLN
Junior Data Analyst (fuels market);Gyfted;;data analyst;Gdynia;POL;6 000;11 000;PLN
Senior Data Analyst;Addepto;;data analyst;Zdalna;N/A;16 000;26 000;PLN
Junior Data Engineer (AI);Power Media;SQL;data analyst;Zdalna;N/A;9 000;13 000;PLN
Junior Application Consultant;Syncron Sp. z o.o.;;data analyst;Zdalna;N/A;5 000;8 000;PLN
Junior BI & Data Science Analyst;10 Senses;;data analyst;Warszawa;POL;6 000;9 000;PLN
Junior Data Analyst;Colliers Poland;;data analyst;Warszawa;POL;8 000;12 000;PLN
Data QA Analyst;FLYR Poland sp. z o.o.;sql;data analyst;Kraków;POL;11 000;16 000;PLN
Data Science Lead;Datafeedwatch;;data analyst;Zdalna;N/A;20 000;25 000;PLN
Data Analyst;Devire Sp. z o.o.;;data analyst;Warsaw;POL;10 000;20 000;PLN
Junior Data Analyst;John Leggy;;data analyst;Warszawa;POL;5 000;7 000;PLN
Lead Data Analyst;SoftServe;;data analyst;Zdalna;N/A;11 000;21 000;PLN
Business Analyst/Senior Business Analyst;SoftServe;;data analyst;Zdalna;N/A;11 000;21 000;PLN
Data Analyst (ID: 11271);Infopulse;;data analyst;Zdalna;N/A;21 000;22 000;PLN
Middle/Senior Data Analyst;Consult Business Partner;python;data analyst;Budapest;"HUN
 + 1";11 000;19 000;PLN
Data Analyst;Shopee;;data analyst;Warszawa;POL;11 000;18 000;PLN
Remote Data Analyst - Looker Developer;Varwise;;data analyst;Zdalna;N/A;23 000;29 000;PLN
Cloud Solutions Architect;Grape Up;aws;data analyst;Kraków;"POL
 + 4";22 000;35 000;PLN
Senior Python Backend Engineer;Smartpatient;python;data analyst;Zdalna;N/A;21 000;26 000;PLN
Junior Data Analyst;DPDgroup IT Solutions sp. z o.o.;;data analyst;Warszawa;POL;3 000;5 000;PLN
Junior Data Analyst;ALTEN Polska;;data analyst;Gdańsk;POL;6 000;10 000;PLN
