name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_currency;salary_average;is_senior
data scientist;Kontomatik Sp. z o.o.;python;data analyst;warszawa;POL;8 000;12 000;PLN;10000.0;False
data analyst;Ringier Axel Springer Tech;;data analyst;zdalna;N/A;9 000;13 000;PLN;11000.0;False
senior data mining analyst;McKinsey & Company;;data analyst;wrocław;POL;9 000;14 000;PLN;11500.0;True
data analyst;Devire;;data analyst;zdalna;N/A;8 000;16 000;PLN;12000.0;False
data analyst;Globitell Wholesale Sp. z o.o. Sp. K.;;data analyst;warszawa;POL;6 000;9 000;PLN;7500.0;False
data business analyst (data science);Lingaro;;data analyst;zdalna;N/A;11 760;20 160;PLN;15960.0;False
senior data analyst, marketing;Brainly;;data analyst;zdalna;N/A;8 000;16 000;PLN;12000.0;True
senior product data analyst;No Fluff Jobs;;data analyst;zdalna;N/A;12 000;18 000;PLN;15000.0;True
data analyst;Smartpatient;;data analyst;zdalna;N/A;11 000;17 500;PLN;14250.0;False
senior .net engineer;AVENGA;.net;data analyst;warszawa;POL;25 200;26 880;PLN;26040.0;True
tester / data analyst;DPDgroup IT Solutions sp. z o.o.;;data analyst;warszawa;POL;5 500;11 000;PLN;8250.0;False
senior javascript developer;Sigma IT Polska;javascript;data analyst;zdalna;N/A;17 000;19 500;PLN;18250.0;True
data analyst powerbi/tableau;QBICO Sp. z o.o.;;data analyst;zdalna;N/A;7 000;11 000;PLN;9000.0;False
data team leader;Datafeedwatch;;data analyst;kraków;POL;12 000;17 000;PLN;14500.0;False
product data analyst;Packhelp;;data analyst;warszawa;POL;11 000;14 000;PLN;12500.0;False
data analyst;mthree;python;data analyst;zdalna;N/A;5 416;8 333;PLN;6874.5;False
data analyst;Infinite Lambda Kft.;;data analyst;zdalna;N/A;11 430;17 146;PLN;14288.0;False
data engineer;Insight (Division of nexergroup.com);;data engineer;zdalna;N/A;16 000;26 200;PLN;21100.0;False
digital data engineer;Link Group;sql;data engineer;zdalna;N/A;20 000;29 000;PLN;24500.0;False
data engineer;Ework Group;python;data engineer;zdalna;N/A;34 944;38 976;PLN;36960.0;False
dwh/big data engineer;Sii Polska;;data engineer;warszawa;POL;21 000;26 250;PLN;23625.0;False
senior software engineer | big data;Adform Sp. z o.o.;scala;data engineer;zdalna;N/A;20 000;24 000;PLN;22000.0;True
